Time,sepal-length,sepal-width,petal-length,petal-width
0,6.389074682399419,2.546461617285822,4.74511090952761,1.74893485182603
1,6.496539215606072,3.233693875888119,5.084936242851708,1.0601434500916023
2,6.905240443130239,3.3905933179533685,4.253275941017834,1.2098900936929338
3,7.249576770144955,2.9175887537452785,6.8982676079834695,2.224003609903737
4,5.340718525221835,3.6791919082688818,1.4889308600837108,0.5008348727752482
5,4.6153787240935165,4.3700082210785425,1.555547760059962,0.28311183098651027
6,5.9627536517809485,2.596335853468553,4.299837740448694,1.2703547176403016
7,7.428738967962564,2.971432048991005,5.175135692384459,1.98133970433468
8,5.485454793421365,3.171542872960924,1.039141679051427,0.47942755472895626
9,6.732620588859483,3.2148581410769292,4.389498134864661,1.0477442595389967
10,4.449867668076987,3.05447224545488,1.8545581382243401,0.45306850920281394
11,5.846793596654637,2.8159094199834476,3.5912616419597683,1.5586577848106633
12,4.929356445014645,3.745989117704222,1.2497774461781965,0.5289273978227647
13,4.878167421910462,2.6680612634409626,1.8363868673241526,0.27493709082765605
14,6.272072329016625,2.5903940210161354,3.4796860412008637,1.1569482069806813
15,7.536943081820359,3.511090132298392,5.50763220734455,2.1671717023960984
16,6.286938091661114,3.0164822086792773,4.641654710960605,1.5019875462069432
17,6.75290925810335,2.6037064251081556,4.406002581735647,1.4311432759623262
18,4.9622893277213045,4.0036277818364985,1.4054083990268902,0.22053953480829522
19,6.01422746816869,3.3147397736786117,3.523500310988258,1.115277200444178
20,5.29880332799737,2.4418350573986496,1.8061752883617648,0.4112773782807293
21,7.640513385424205,2.794779490675885,6.4526070491942065,1.7709548296460764
22,7.514831643896983,3.0647617948488852,5.807033103051878,2.2280519826953746
23,7.64569201000677,3.0385218354082943,6.05150054735781,1.4654806269060492
24,5.747559125629906,3.3737821582181713,1.5204435342895533,0.14802838011728395
25,6.5466870547308265,3.398464669975363,3.2348326860694705,1.5889945670465493
26,7.179892628441191,3.6988248777359987,6.004891024418374,1.5097963513528496
27,6.51256170712647,2.040183983050118,3.795059265927016,1.4591410932826658
28,5.334439733029011,4.359710705220396,1.2068094625993242,0.45249480069791814
29,6.450532778680787,2.2409800466468166,3.9942319394371144,1.713129211557534
30,5.78274509199621,2.6086956623232704,1.786644359403697,0.5975805625125893
31,4.409301743219343,3.978803000248276,1.0379699357717866,0.16175819031217867
32,5.076973690316203,3.169031006427535,1.3075553270049274,0.5113470915044047
